participant_id,Age
S00601,75.23
S00602,78.38
S00603,68.58
S00604,53.7
S00605,51.11
S00606,53.95
S00607,65.23
S00608,78.92
S00609,52.01
S00610,78.21
S00611,84.85
S00612,81.47
S00613,72.19
S00614,59.64
S00615,68.37
S00616,83.57
S00617,76.54
S00618,58.33
S00619,81.97
S00620,84.59
S00621,84.95
S00622,56.79
S00623,83.44
S00624,54.09
S00625,53.32
S00626,58.9
S00627,60.09
S00628,76.72
S00629,74.6
S00630,51.46
S00631,80.21
S00632,64.53
S00633,53.57
S00634,53.53
S00635,82.36
S00636,53.1
S00637,53.65
S00638,75.73
S00639,68.66
S00640,75.84
S00641,60.37
S00642,60.51
S00643,51.56
S00644,61.63
S00645,53.76
S00646,79.82
S00647,80.53
S00648,79.46
S00649,68.15
S00650,55.8
S00651,62.49
S00652,84.15
S00653,65.08
S00654,66.21
S00655,60.29
S00656,57.04
S00657,80.49
S00658,61.11
S00659,74.84
S00660,59.24
S00661,82.87
S00662,75.71
S00663,67.15
S00664,54.59
S00665,51.51
S00666,70.18
S00667,57.87
S00668,74.28
S00669,83.19
S00670,53.76
S00671,70.3
S00672,58.31
S00673,60.7
S00674,65.1
S00675,78.11
S00676,80.15
S00677,56.08
S00678,55.21
S00679,56.14
S00680,68.2
S00681,73.99
S00682,66.31
S00683,51.08
S00684,70.83
S00685,81.88
S00686,75.06
S00687,75.3
S00688,84.03
S00689,71.5
S00690,59.66
S00691,74.01
S00692,56.39
S00693,84.09
S00694,64.05
S00695,65.65
S00696,68.21
S00697,51.0
S00698,64.07
S00699,83.28
S00700,74.17
S00701,59.68
S00702,81.23
S00703,68.0
S00704,64.74
S00705,69.8
S00706,50.8
S00707,60.29
S00708,77.5
S00709,51.62
S00710,59.29
S00711,81.59
S00712,77.41
S00713,59.77
S00714,77.87
S00715,55.86
S00716,75.79
S00717,61.55
S00718,76.84
S00719,54.19
S00720,53.75
S00721,81.04
S00722,72.59
S00723,75.11
S00724,50.82
S00725,64.59
S00726,71.09
S00727,70.14
S00728,71.88
S00729,54.98
S00730,79.53
S00731,70.24
S00732,56.03
S00733,61.32
S00734,65.91
S00735,64.83
S00736,73.71
S00737,80.39
S00738,74.44
S00739,75.88
S00740,67.21
S00741,81.09
S00742,75.39
S00743,73.75
S00744,75.26
S00745,69.21
S00746,79.55
S00747,77.52
S00748,78.76
S00749,58.61
S00750,68.18
S00751,76.97
S00752,56.25
S00753,62.33
S00754,53.12
S00755,83.21
S00756,82.06
S00757,68.62
S00758,55.64
S00759,82.42
S00760,74.83
S00761,81.02
S00762,60.51
S00763,78.69
S00764,84.54
S00765,68.73
S00766,69.24
S00767,55.54
S00768,54.29
S00769,68.15
S00770,72.55
S00771,78.0
S00772,82.19
S00773,84.56
S00774,60.36
S00775,54.45
S00776,65.15
S00777,74.25
S00778,55.77
S00779,76.91
S00780,77.72
S00781,73.94
S00782,84.17
S00783,69.75
S00784,76.38
S00785,79.85
S00786,70.11
S00787,52.92
S00788,66.5
S00789,50.71
S00790,77.26
S00791,65.04
S00792,73.17
S00793,63.35
S00794,68.59
S00795,56.85
S00796,77.94
S00797,80.34
S00798,64.67
S00799,58.27
S00800,58.12
S00801,64.46
S00802,65.97
S00803,78.31
S00804,75.09
S00805,60.49
S00806,69.34
S00807,63.94
S00808,56.89
S00809,72.76
S00810,69.69
S00811,68.76
S00812,52.4
S00813,78.14
S00814,55.23
S00815,55.77
S00816,82.14
S00817,70.73
S00818,84.81
S00819,67.71
S00820,60.06
S00821,84.48
S00822,70.72
S00823,61.83
S00824,59.34
S00825,75.93
S00826,57.68
S00827,82.55
S00828,62.26
S00829,81.31
S00830,50.89
S00831,50.52
S00832,76.76
S00833,59.55
S00834,59.77
S00835,80.06
S00836,72.44
S00837,84.11
S00838,75.73
S00839,55.0
S00840,67.75
S00841,59.66
S00842,59.49
S00843,68.24
S00844,69.87
S00845,53.69
S00846,61.5
S00847,51.12
S00848,71.37
S00849,60.9
S00850,70.63
S00851,55.17
S00852,70.28
S00853,79.54
S00854,71.1
S00855,84.26
S00856,73.33
S00857,52.18
S00858,79.31
S00859,65.76
S00860,55.16
S00861,69.04
S00862,57.74
S00863,67.28
S00864,62.57
S00865,59.32
S00866,81.7
S00867,52.26
S00868,53.96
S00869,56.16
S00870,52.69
S00871,59.12
S00872,51.52
S00873,63.3
S00874,61.29
S00875,66.33
S00876,74.49
S00877,63.97
S00878,62.54
S00879,55.16
S00880,73.05
S00881,82.32
S00882,68.84
S00883,78.01
S00884,69.85
S00885,59.41
S00886,54.43
S00887,58.42
S00888,61.13
S00889,68.82
S00890,75.12
S00891,80.32
S00892,73.31
S00893,73.69
S00894,52.89
S00895,75.03
S00896,51.44
S00897,79.31
S00898,64.69
S00899,69.39
S00900,61.1
S00901,62.06
S00902,62.1
S00903,58.64
S00904,64.5
S00905,77.96
S00906,51.56
S00907,67.49
S00908,51.7
S00909,62.38
S00910,70.89
S00911,59.03
S00912,72.58
S00913,82.37
S00914,76.76
S00915,59.91
S00916,82.74
S00917,74.77
S00918,78.28
S00919,50.8
S00920,74.68
S00921,64.51
S00922,55.3
S00923,75.54
S00924,78.88
S00925,77.26
S00926,63.44
S00927,66.35
S00928,67.95
S00929,63.99
S00930,74.21
S00931,75.34
S00932,84.84
S00933,50.98
S00934,76.18
S00935,51.76
S00936,69.59
S00937,68.62
S00938,83.46
S00939,50.79
S00940,78.2
S00941,62.76
S00942,53.26
S00943,51.17
S00944,53.35
S00945,73.52
S00946,65.59
S00947,59.18
S00948,78.62
S00949,74.22
S00950,53.77
S00951,69.31
S00952,58.6
S00953,57.32
S00954,75.33
S00955,69.66
S00956,76.41
S00957,63.7
S00958,78.51
S00959,61.7
S00960,51.74
S00961,56.8
S00962,82.0
S00963,60.56
S00964,52.63
S00965,72.22
S00966,78.12
S00967,58.37
S00968,53.98
S00969,74.81
S00970,80.36
S00971,64.65
S00972,61.86
S00973,79.32
S00974,71.89
S00975,61.86
S00976,71.79
S00977,65.62
S00978,82.39
S00979,75.27
S00980,56.07
S00981,68.34
S00982,71.17
S00983,68.68
S00984,58.33
S00985,54.03
S00986,54.52
S00987,51.78
S00988,50.54
S00989,70.1
S00990,56.34
S00991,78.24
S00992,61.45
S00993,73.77
S00994,79.86
S00995,67.58
S00996,83.39
S00997,75.95
S00998,78.75
S00999,56.56
S01000,71.26
S01001,73.2
S01002,81.5
S01003,82.86
S01004,77.61
S01005,79.38
S01006,80.86
S01007,74.45
S01008,53.64
S01009,80.12
S01010,77.17
S01011,52.34
S01012,75.31
S01013,70.13
S01014,69.72
S01015,68.42
S01016,71.65
S01017,71.06
S01018,51.44
S01019,71.89
S01020,58.73
S01021,65.68
S01022,80.51
S01023,71.59
S01024,72.77
S01025,83.3
S01026,66.26
S01027,62.8
S01028,51.23
S01029,69.4
S01030,71.82
S01031,70.97
S01032,61.97
S01033,61.53
S01034,64.42
S01035,76.4
S01036,76.38
S01037,84.64
S01038,78.25
S01039,72.55
S01040,78.0
S01041,65.94
S01042,51.27
S01043,65.33
S01044,55.19
S01045,82.08
S01046,80.92
S01047,60.61
S01048,71.77
S01049,59.83
S01050,79.85
S01051,81.38
S01052,69.55
S01053,72.7
S01054,82.16
S01055,68.43
S01056,84.48
S01057,68.28
S01058,77.4
S01059,75.4
S01060,69.9
S01061,52.96
S01062,56.36
S01063,82.13
S01064,83.64
S01065,53.73
S01066,57.53
S01067,72.04
S01068,54.49
S01069,77.0
S01070,63.43
S01071,55.24
S01072,54.82
S01073,77.2
S01074,58.55
S01075,50.57
S01076,62.79
S01077,80.7
S01078,61.43
S01079,54.32
S01080,75.84
S01081,69.56
S01082,53.45
S01083,64.82
S01084,83.96
S01085,62.75
S01086,80.9
S01087,58.6
S01088,70.65
S01089,79.43
S01090,58.63
S01091,56.85
S01092,74.88
S01093,55.47
S01094,61.88
S01095,66.69
S01096,66.73
S01097,77.44
S01098,77.58
S01099,75.6
S01100,60.25
S01101,76.51
S01102,78.03
S01103,68.28
S01104,60.92
S01105,52.26
S01106,76.92
S01107,66.42
S01108,50.82
S01109,77.33
S01110,60.2
S01111,52.81
S01112,82.28
S01113,58.28
S01114,79.41
S01115,58.86
S01116,61.92
S01117,56.06
S01118,57.02
S01119,82.39
S01120,65.07
S01121,83.41
S01122,58.88
S01123,57.42
S01124,84.65
S01125,52.79
S01126,55.77
S01127,71.19
S01128,83.87
S01129,69.49
S01130,62.78
S01131,80.9
S01132,59.36
S01133,73.57
S01134,62.49
S01135,54.42
S01136,82.14
S01137,61.03
S01138,76.72
S01139,54.77
S01140,66.39
S01141,82.21
S01142,59.82
S01143,52.5
S01144,56.61
S01145,80.31
S01146,83.07
S01147,62.55
S01148,69.95
S01149,67.12
S01150,60.97
S01151,50.94
S01152,77.07
S01153,59.25
S01154,71.22
S01155,57.16
S01156,54.72
S01157,78.46
S01158,52.0
S01159,69.24
S01160,55.54
S01161,61.52
S01162,68.45
S01163,72.44
S01164,66.19
S01165,51.86
S01166,64.81
S01167,65.19
S01168,51.8
S01169,81.51
S01170,72.73
S01171,56.0
S01172,51.92
S01173,60.47
S01174,59.14
S01175,65.16
S01176,65.01
S01177,73.6
S01178,56.62
S01179,53.5
S01180,60.71
S01181,52.67
S01182,71.13
S01183,75.53
S01184,50.56
S01185,51.56
S01186,80.89
S01187,53.22
S01188,58.36
S01189,64.36
S01190,53.95
S01191,76.27
S01192,64.68
S01193,51.56
S01194,65.43
S01195,55.84
S01196,55.06
S01197,67.94
S01198,55.67
S01199,53.47
S01200,70.83
S01201,62.53
S01202,64.63
S01203,80.32
S01204,67.28
S01205,54.59
S01206,68.17
S01207,65.57
S01208,73.65
S01209,82.51
S01210,84.39
S01211,67.24
S01212,67.59
S01213,59.46
S01214,76.83
S01215,79.72
S01216,83.35
S01217,75.15
S01218,52.25
S01219,50.65
S01220,70.54
S01221,71.03
S01222,79.66
S01223,70.95
S01224,66.37
S01225,58.44
S01226,67.66
S01227,55.31
S01228,77.86
S01229,68.54
S01230,74.38
S01231,76.98
S01232,82.37
S01233,57.95
S01234,57.29
S01235,77.22
S01236,72.94
S01237,51.56
S01238,81.62
S01239,82.78
S01240,61.58
S01241,81.75
S01242,84.28
S01243,59.05
S01244,59.77
S01245,56.37
S01246,69.2
S01247,84.04
S01248,67.99
S01249,51.17
S01250,56.57
S01251,52.04
S01252,64.56
S01253,76.09
S01254,52.35
S01255,54.53
S01256,78.76
S01257,57.92
S01258,53.35
S01259,67.01
S01260,70.39
S01261,64.29
S01262,56.85
S01263,51.45
S01264,72.71
S01265,69.93
S01266,84.72
S01267,75.44
S01268,71.07
S01269,56.38
S01270,67.05
S01271,83.58
S01272,64.37
S01273,77.73
S01274,54.45
S01275,57.75
S01276,70.53
S01277,64.08
S01278,65.84
S01279,74.85
S01280,65.04
S01281,81.47
S01282,82.39
S01283,74.29
S01284,75.72
S01285,66.13
S01286,71.42
S01287,57.77
S01288,50.82
S01289,77.26
S01290,57.64
S01291,55.54
S01292,69.44
S01293,52.69
S01294,57.33
S01295,63.01
S01296,74.84
S01297,60.01
S01298,70.87
S01299,79.15
S01300,52.18
S01301,54.23
S01302,74.53
S01303,63.01
S01304,79.9
S01305,51.7
S01306,79.02
S01307,63.96
S01308,68.32
S01309,82.41
S01310,80.9
S01311,81.08
S01312,83.54
S01313,65.61
S01314,56.19
S01315,84.25
S01316,54.13
S01317,77.93
S01318,54.35
S01319,72.66
S01320,60.12
S01321,78.53
S01322,52.29
S01323,53.59
S01324,55.4
S01325,53.99
S01326,67.2
S01327,57.72
S01328,78.9
S01329,55.19
S01330,63.24
S01331,74.61
S01332,70.81
S01333,67.14
S01334,62.5
S01335,55.34
S01336,62.39
S01337,50.97
S01338,80.92
S01339,60.02
S01340,53.68
S01341,80.01
S01342,59.35
S01343,78.63
S01344,76.65
S01345,63.08
S01346,61.86
S01347,69.58
S01348,69.71
S01349,82.9
S01350,73.44
S01351,63.03
S01352,62.05
S01353,69.44
S01354,55.13
S01355,51.6
S01356,72.89
S01357,83.67
S01358,67.82
S01359,73.0
S01360,60.65
S01361,73.55
S01362,57.13
S01363,53.93
S01364,53.56
S01365,79.58
S01366,57.76
S01367,69.45
S01368,84.3
S01369,76.94
S01370,82.95
S01371,68.03
S01372,81.18
S01373,62.41
S01374,68.0
S01375,73.91
S01376,61.11
S01377,74.6
S01378,82.54
S01379,75.67
S01380,83.88
S01381,63.29
S01382,80.08
S01383,50.82
S01384,69.62
S01385,75.6
S01386,52.27
S01387,57.6
S01388,73.57
S01389,73.84
S01390,59.7
S01391,84.33
S01392,54.94
S01393,51.1
S01394,55.74
S01395,84.94
S01396,70.36
S01397,59.91
S01398,73.26
S01399,58.78
S01400,76.24
S01401,75.76
S01402,82.81
S01403,72.85
S01404,72.73
S01405,63.04
S01406,71.52
S01407,58.81
S01408,79.79
S01409,58.66
S01410,54.06
S01411,52.51
S01412,77.57
S01413,80.54
S01414,64.41
S01415,76.28
S01416,54.73
S01417,58.36
S01418,77.63
S01419,75.08
S01420,61.06
S01421,62.95
S01422,77.16
S01423,69.54
S01424,63.43
S01425,59.08
S01426,74.15
S01427,55.22
S01428,80.47
S01429,56.26
S01430,61.05
S01431,82.06
S01432,61.01
S01433,58.58
S01434,62.39
S01435,67.7
S01436,74.35
S01437,62.94
S01438,81.94
S01439,51.25
S01440,61.27
S01441,63.82
S01442,64.14
S01443,76.44
S01444,82.65
S01445,62.64
S01446,61.39
S01447,69.93
S01448,76.41
S01449,75.61
S01450,56.09
S01451,61.17
S01452,72.0
S01453,76.46
S01454,68.64
S01455,59.41
S01456,80.03
S01457,75.25
S01458,68.86
S01459,54.2
S01460,83.07
S01461,63.87
S01462,76.78
S01463,63.21
S01464,54.94
S01465,63.9
S01466,66.29
S01467,65.79
S01468,60.18
S01469,67.4
S01470,55.95
S01471,82.97
S01472,80.04
S01473,63.65
S01474,73.31
S01475,75.01
S01476,73.92
S01477,78.48
S01478,69.22
S01479,67.29
S01480,83.3
S01481,80.07
S01482,66.7
S01483,54.86
S01484,67.13
S01485,57.06
S01486,81.39
S01487,61.04
S01488,55.49
S01489,62.78
S01490,81.42
S01491,72.24
S01492,54.45
S01493,55.9
S01494,55.4
S01495,59.23
S01496,71.34
S01497,68.48
S01498,59.87
S01499,53.1
S01500,81.33
S01501,77.3
S01502,58.0
S01503,64.56
S01504,74.15
S01505,81.54
S01506,68.14
S01507,60.03
S01508,52.05
S01509,56.58
S01510,74.43
S01511,83.61
S01512,59.89
S01513,80.68
S01514,55.51
S01515,81.01
S01516,72.15
S01517,74.18
S01518,54.12
S01519,82.64
S01520,75.34
S01521,66.5
S01522,82.58
S01523,65.84
S01524,70.55
S01525,73.88
S01526,73.78
S01527,57.8
S01528,59.12
S01529,60.36
S01530,71.56
S01531,79.53
S01532,79.6
S01533,55.84
S01534,57.02
S01535,76.55
S01536,79.32
S01537,84.94
S01538,58.41
S01539,59.57
S01540,51.54
S01541,59.02
S01542,69.09
S01543,77.63
S01544,61.99
S01545,78.61
S01546,55.33
S01547,51.96
S01548,76.97
S01549,68.93
S01550,74.37
S01551,71.38
S01552,72.62
S01553,78.22
S01554,57.75
S01555,52.56
S01556,68.08
S01557,63.38
S01558,60.8
S01559,70.45
S01560,50.88
S01561,73.44
S01562,58.59
S01563,80.81
S01564,53.81
S01565,76.3
S01566,69.59
S01567,53.41
S01568,77.75
S01569,73.89
S01570,66.09
S01571,66.73
S01572,68.07
S01573,73.54
S01574,67.28
S01575,79.13
S01576,83.82
S01577,51.49
S01578,50.77
S01579,77.65
S01580,75.77
S01581,57.18
S01582,80.81
S01583,51.99
S01584,50.93
S01585,82.41
S01586,75.34
S01587,56.35
S01588,53.01
S01589,67.8
S01590,78.44
S01591,52.12
S01592,70.24
S01593,76.53
S01594,70.41
S01595,80.06
S01596,55.44
S01597,57.1
S01598,84.51
S01599,82.34
S01600,61.56
S01601,64.86
S01602,54.14
S01603,71.47
S01604,71.77
S01605,61.46
S01606,76.51
S01607,80.88
S01608,52.64
S01609,53.69
S01610,80.5
S01611,73.1
S01612,81.36
S01613,56.04
S01614,84.91
S01615,68.13
S01616,75.1
S01617,59.52
S01618,76.94
S01619,58.26
S01620,61.56
S01621,83.49
S01622,64.22
S01623,56.72
S01624,55.31
S01625,59.25
S01626,65.91
S01627,81.11
S01628,65.22
S01629,65.5
S01630,51.16
S01631,57.65
S01632,50.97
S01633,76.75
S01634,77.33
S01635,68.5
S01636,54.61
S01637,50.51
S01638,78.15
S01639,53.86
S01640,71.23
S01641,66.75
S01642,77.67
S01643,62.63
S01644,56.85
S01645,80.72
S01646,60.47
S01647,82.16
S01648,80.3
S01649,79.85
S01650,79.13
S01651,82.4
S01652,59.79
S01653,80.29
S01654,68.27
S01655,53.52
S01656,61.75
S01657,76.5
S01658,63.04
S01659,52.32
S01660,61.37
S01661,65.63
S01662,60.77
S01663,68.8
S01664,69.84
S01665,55.16
S01666,79.2
S01667,68.16
S01668,72.81
S01669,73.33
S01670,50.78
S01671,73.46
S01672,57.95
S01673,71.33
S01674,56.35
S01675,82.01
S01676,62.49
S01677,73.04
S01678,52.88
S01679,67.93
S01680,69.12
S01681,78.33
S01682,82.91
S01683,66.61
S01684,71.04
S01685,64.52
S01686,81.93
S01687,58.82
S01688,58.54
S01689,56.69
S01690,78.89
S01691,54.18
S01692,58.79
S01693,70.45
S01694,56.17
S01695,69.5
S01696,84.11
S01697,83.47
S01698,51.7
S01699,75.74
S01700,52.88
S01701,75.97
S01702,81.33
S01703,76.58
S01704,75.68
S01705,71.87
S01706,53.87
S01707,64.12
S01708,83.66
S01709,77.59
S01710,64.0
S01711,78.93
S01712,75.24
S01713,72.55
S01714,69.43
S01715,67.5
S01716,66.46
S01717,83.41
S01718,82.97
S01719,63.43
S01720,61.07
S01721,79.31
S01722,52.1
S01723,78.23
S01724,80.76
S01725,59.18
S01726,72.33
S01727,62.76
S01728,57.96
S01729,55.04
S01730,54.17
S01731,60.3
S01732,73.04
S01733,82.05
S01734,76.62
S01735,62.51
S01736,79.56
S01737,60.78
S01738,80.32
S01739,62.11
S01740,50.66
S01741,55.44
S01742,63.52
S01743,58.84
S01744,53.29
S01745,51.08
S01746,50.71
S01747,56.9
